UserID,Achronim,Biography,Chassidus,Children's,Cookbooks,English Halacha,Eng. Mussar & Machshava,English Tanach,Gemara,Haggada,Hebrew Halacha,Heb. Mussar & Machshava,Hebrew Tanach,History,Judaica,Midrashim,Mishna,Music,Novels,Reference,Rishonim,Scholarly Works,Shailot u'Teshuvot,Siddurim,Tefillah,Yeshiva University
256,,,,,,,1,,,,,,,,,,,,,,,,,,,
257,5,,5,,,,,,,1,,,,,,,,,,,,,,,,
258,,,,,,,,2,,1,,,,,,,,,,,,,,,,1
259,,,,,1,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,1,,,,,,,,,,,,,,,,,2,
262,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,1,5,,,,,,,,,,,,,,,,,,,,1
264,,,,,,,,,,,,1,,,,,,,,,,2,,1,,1
265,,,,,,,,,,,,3,,,,,,,,,,1,,,,
266,,,,,,,1,,,,,,,,,,1,,,,,,,,,
267,,1,,,,,,,1,,,,1,,,,,,,,,,,,,
268,,,,,,,3,,,,,,,,,,,,,,1,,,,,
269,,,,,,,1,,,1,,,,1,,,,,,,,,,,,
270,,,,,,,,,,,5,,,,,,,,,,,,,,,
271,,1,,1,2,,4,,,,,,,1,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,1,,
273,,,,,,,,2,,,,2,2,,,,,,,,,1,,,,
274,2,,,,,,,,,1,,,,,,,,,,,,,,,,
275,,,,,,2,,,,1,,,,,2,,,,,,,,,,,
276,,,,,,,,,5,,,,,,,,,,,,,,,,,
277,3,,,,,,,,1,,,,,,,,,,,,,,,,,
278,,,,,1,,3,1,1,,,,,,,,,,,2,,,,,,
279,,,,,,,,,,1,,,,,,,,,,,,,,,,5
280,,,,,,,,,,1,,,,,,,,,,,,,,,,
281,,,,,,3,5,1,1,,,,,,,,,,,1,,,1,,2,
282,,,,,,,,,,,3,,,,,,,,,,,,,,,
283,,,,,,,,,5,,,,,,,,,,,,,,,,,
284,,,,,,,1,,,,5,,5,,,,,,,,,,,,,
285,,1,1,,,1,3,1,,,,3,,,,,,,,,1,,,,,
286,,,,,,,,,,,,,1,,,,,,,,,,,,,
287,,,,,,,,,1,,,,,,,,1,,,,,,,,,
288,,1,,,,,,1,,,,,,,,,,,,,,,,,,
289,,,,1,,1,2,,,,,,1,,,,,,,,,,,,,
290,,,1,,,,,1,1,,5,,,,,,,,,,,1,,,,
291,,1,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,1,,,,,1,,,,,,,,,,,,,
293,,,,,,,,,,,1,,,,,,,,,,,,,,,
294,,,,,,,,,1,,,,,,,,,,,,,,,2,,
295,,1,1,,,1,,,,1,,,,,,,,,1,,,,,,,
296,,,,,,,,,,,,,,1,1,,,,,,,,,,,
297,,,1,,,,,,,,,,,1,,,,,,,,,,,,
298,,,,,,1,2,,,,,,,,,,,,,,,,,,,
299,,,2,,,,,1,,,,,,,,,,,,,,,,,,
300,,2,,1,,,,2,,1,,,,,,,,,,,,,,,,1
301,,,,,,1,,,,,,,,,,,,,,,,1,,,,
302,,,,,,,,,,,,,,,,,,,,,,1,,,,
303,,1,,,,1,"3, 4",,,,,,,,,,,,,,,,,1,,
304,1,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,1,,,,,,,,,,,1,,
306,,,,,,,,,,,,1,,,,,,,,,,,,,,1
307,,"1, 2",1,,,,1,,,,,,,1,,,,,2,,,,,,,
308,,2,,,,,,,1,,,,,,,4,,,,,,1,,,,
309,,,,3,,,,,,,,,,,,,,,,,,,,,,5
310,,,,,1,,,,,,,,1,,,,,,,,,,,4,,
311,,,,,,5,,,,1,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,1,1,,,
314,1,,,,,,,,,,2,,1,,,,,,,,,,,,,
315,,,,,,1,3,,,,1,1,1,,,,,,1,,,,,,,
316,5,1,,,,,,,,,,,,,,,,,,,5,,5,,,
317,,,,1,,,1,,,,,,,,,,,,,,,,,,,
318,,1,,,,,,,,,,,,,,,,,,,,,,,,
319,,1,2,,1,,1,,,,,,5,1,,,,,,1,,1,,1,,
320,,,,,,2,2,2,,,,,,,,,,,,,,2,,,,
321,,,,2,,,,,2,,,,,,,,,1,,,,,,,,
322,2,,,,,,,,,,,,5,,,,,,,5,1,,,5,,
323,,,,,,,,4,,,,,,,,,,,,,,,,,,
324,,,1,,,,,,,,,2,1,,,,,,,,,,,,,
325,,,,,,,1,,,,,,,,,,,,,,,,,,,
326,,,,,,5,,,3,,,,,,,,,,,3,,,,,,
327,,,,,,,,,,2,,,,,,,3,,,,,,,,,
328,,,,,,1,1,,,,,1,,,,,,,,,,,,,,1
329,,5,4,3,2,4,3,,5,3,4,,,,,,4,,3,,,,,,,
330,,,,,,,,,,,,,,,,,1,,,,,,,,,
331,,,,,1,2,,1,,1,,,1,1,1,,,,,2,,1,,1,,
332,2,,,3,1,1,,1,,,,,,,,,,,,,1,,,,,4
333,4,,1,,,1,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,2,,1,,,3,,,,,,,,,,,,2,
335,,,,5,,,1,,,1,,1,,,,,,,,,,,,,,
